,genre_ids,movie_id,overview,popularity,poster_path,release_date,title,vote_average,vote_count
610,"[16, 35, 10751]",14447,"Wallace and Gromit have a brand new business - a bakery. Although business is booming, Gromit is concerned by the news that 12 local bakers have 'disappeared' this year - but Wallace isn't worried. He's too distracted and in love with local beauty and bread enthusiast, Piella Bakewell, to be of much help. Gromit must be the sleuth and solve the escalating murder mystery.",1.738542,/e4L9XUCmNhiwbLICMiISh73PySF.jpg,2008-12-03,A Matter of Loaf and Death,7.2,98
611,"[12, 14, 16, 28, 878, 10751]",13956,Three young houseflies stow away aboard the Apollo 11 flight to the moon.,1.611768,/eM5clf65GzhnTKYwOgNqhgFZTFF.jpg,2008-08-15,Fly Me to the Moon,4.4,39
612,"[16, 35, 10751, 12, 14]",12222,"One day, Horton the elephant hears a cry from help coming from a speck of dust. Even though he can't see anyone on the speck, he decides to help it. As it turns out, the speck of dust is home to the Whos, who live in their city of Whoville. Horton agrees to help protect the Whos and their home",1.59793,/cYc2MbsXsDbMcf3tZDSiuNLn7kn.jpg,2008-03-03,Horton Hears a Who!,6.3,692
613,"[28, 12, 16, 878]",14011,"The human race is threatened by a powerful creature, and only the combined power of Superman, Batman, Wonder Woman, Green Lantern, Martian Manhunter and The Flash can stop it. But can they overcome their differences to thwart this enemy using the combined strength of their newly formed Justice League?",1.594137,/l3yNQyvUozuMuAWmf2Vxx9iX4ZO.jpg,2008-02-26,Justice League: The New Frontier,6.5,88
614,"[12, 16, 35, 10751]",13690,"Boog and Elliot are back for more crazy adventures! After falling head over hooves in love with Giselle, Elliot's road to the alter takes a detour when Mr Weenie is kidnapped by a group of pampered pets determined to return him to his owners. Boog, Elliot, McSqizzy and the rest of the woodland creatures launch a full-scale mission to rescue their friend and soon find themselves in enemy camp...",1.592924,/eSofqEfR7VVk5JUCk1IX9S4vZoh.jpg,2008-09-24,Open Season 2,5.6,236
615,"[16, 35, 10751, 14]",14248,"Animated fable about a cliché hunchbacked evil scientist's assistant who aspires to become a scientist himself, much to the displeasure of the rest of the evil science community.",1.535409,/en4ddVTs4n49iDYMZtkvedFgcM8.jpg,2008-09-19,Igor,5.6,121
616,"[16, 10751]",13413,What lengths will a robot undergo to do his job? BURN•E is a dedicated hard working robot who finds himself locked out of his ship. BURN•E quickly learns that completing a simple task can often be a very difficult endeavor.,1.497066,/tdvyi9asDeOF65MwTqNNMoAhqP4.jpg,2008-11-17,BURN•E,7.8,219
617,"[16, 10751]",10800,"Dragon Hunters is a fantastic tale telling the adventures of two dragon hunters: the world has become a vast conglomerate of islands of varying size and shape. This babbling universe is mainly peopled with ruthless rogues, surly peasants and illiterate, petty lords Their main concerns revolve around two fundamental rules : Eat and don't get eaten.",1.495225,/mrshOKZBPoOmulzLZjZEbvENHJh.jpg,2008-03-19,Dragon Hunters,6.6,98
618,"[16, 10751]",13004,"Liana and Alexa (Barbie and Teresa) are best friends who share everything, including their love of singing. One day while walking through the forest home from the village, the girls meet an old beggar who gives them a magical mirror. As they clean the mirror and sing, a musical apprentice muse named Melody appears in the mirror's surface, and tells the girls about the secret of the Diamond Castle.",1.487404,/hXVFyeKKSBW4L0nIiHrwtLUMC05.jpg,2008-01-01,Barbie and the Diamond Castle,6.4,43
619,"[18, 28, 80, 53]",155,"Batman raises the stakes in his war on crime. With the help of Lt. Jim Gordon and District Attorney Harvey Dent, Batman sets out to dismantle the remaining criminal organizations that plague the streets. The partnership proves to be effective, but they soon find themselves prey to a reign of chaos unleashed by a rising criminal mastermind known to the terrified citizens of Gotham as the Joker.",10.029975,/1hRoyzDtpgMU7Dz4JF22RANzQO7.jpg,2008-07-16,The Dark Knight,8.1,9723
