,genre_ids,movie_id,overview,popularity,poster_path,release_date,title,vote_average,vote_count
986,"[53, 18]",321666,"Arnulfo Rubio smuggles weapons from Arizona to Mexico for a drug cartel, but he is being investigated by agent Harris. When agent Harris blows his covers, he and Arnulfo end up in a journey where he will be the hostage of this young criminal.",2.291785,/fU4Air3f5YbSfnOAXDrtd8bsAAY.jpg,2016-07-15,600 Miles,6.2,34
987,"[18, 28, 53]",11128,"Under the watchful eye of his mentor, Captain Mike Kennedy, probationary firefighter Jack Morrison matures into a seasoned veteran at a Baltimore fire station. However, Jack has reached a crossroads  as the sacrifices he's made have put him in harm's way innumerable times and significantly impacted his relationship with his wife and kids.",2.291466,/opgPMSdkXsTOB5W169VlivKyaZQ.jpg,2004-10-01,Ladder 49,6.0,166
988,[28],447427,A re-imagining of the Arthurian legend centered around Arthur's illegitimate son Owain who must learn to take up his father's mantle as king.,2.291298,/kNSOzucpK6mOtI5zYrQO3xbFr6r.jpg,2017-03-01,King Arthur: Excalibur Rising,5.3,3
989,"[18, 53]",4916,"Before a criminal lawyer knows what has happened, she is forced to defend a wife killer she knows is guilty.",2.29125,/hQwk4PZdDVJI6SYEEqxx4zqco0j.jpg,1993-06-04,Guilty as Sin,5.3,12
990,"[18, 10749]",23169,"Still reeling from a heartbreaking family event and his parents' subsequent divorce, Tyler Hawkins discovers a fresh lease on life when he meets Ally Craig, a gregarious beauty who witnessed her mother's death. But as the couple draws closer, the fallout from their separate tragedies jeopardizes their love.",2.290509,/rlWRvkApEUM33yOPmzULJwUnAZI.jpg,2010-03-12,Remember Me,6.8,724
991,"[10770, 28, 12, 35, 10751]",22084,"Melissa has a bad case of sibling rivalry, only her competition is a fictional character in her father's best-selling novel about a teenage super spy. When her father is ""dadnapped"" by a group of overzealous fans, it's up to Melissa to help him by tapping her inner superhero.",2.289756,/52nlAdAO3WJ47gQ91FlJmY6pEon.jpg,2009-01-01,Dadnapped,4.3,42
992,[18],87093,"The story of the awakening of the painter, Margaret Keane, her phenomenal success in the 1950s, and the subsequent legal difficulties she had with her husband, who claimed credit for her works in the 1960s.",2.289634,/tkxE7BLschoqNzTikrGvZN7IL7K.jpg,2014-12-24,Big Eyes,6.8,898
993,[35],445793,,2.289617,/pu2Ogkz1zrObFX8MGTaPqwfUq2V.jpg,2017-04-13,Marito e moglie,7.0,2
994,[18],44716,"The lives of two Danish families cross each other, and an extraordinary but risky friendship comes into bud. But loneliness, frailty and sorrow lie in wait.",2.2895,/qxCTUrnC5ZdsKQepBMPt09ihse.jpg,2010-08-26,In a Better World,7.3,100
995,"[10749, 16, 10751, 35, 12]",15789,"When Max makes an preposterous promise to his girlfriend, his chances to fulfilling it seem hopeless when he is dragged onto a cross-country trip with his embarrassing father, Goofy.",2.289217,/2myT39zjUh5XD1lzpzJ29by92Mm.jpg,1995-04-07,A Goofy Movie,6.7,288
996,"[18, 53, 12]",204,"In the South American jungle, supplies of nitroglycerine are needed at a remote oil field. The oil company pays four men to deliver the supplies in two trucks. A tense rivalry develops between the two sets of drivers on the rough remote roads where the slightest jolt can result in death.",2.289181,/3IGuAr1xsErR4XqmHZcfyQ4f8KY.jpg,1953-04-22,The Wages of Fear,7.8,136
997,"[18, 36]",245168,Based on true events about the foot soldiers of the early feminist movement who were forced underground to evade the State.,2.288749,/gG2Y8GNXzMrZCx65a8EhdNq2iuu.jpg,2015-10-16,Suffragette,7.1,305
998,[18],462,"A twice-divorced mother of three who sees an injustice, takes on the bad guy and wins -- with a little help from her push-up bra. Erin goes to work for an attorney and comes across medical records describing illnesses clustered in one nearby town. She starts investigating and soon exposes a monumental cover-up.",2.288512,/if90sXZkI4aaxdlhxKejpniT9ff.jpg,2000-03-17,Erin Brockovich,7.0,549
999,"[53, 28, 80, 18]",130267,"When the rumored whereabouts of Osama bin Laden are revealed, the CIA readies a team of seasoned U.S. Navy SEALs for the mission of a lifetime. Despite inconclusive evidence that bin Laden is inside the compound, and ignoring the possible ramifications of an unannounced attack on Pakistani soil, the Pentagon orders the attack. The SEAL Team bands together to complete their mission of justice in a riveting final showdown.",2.288317,/uPPRPsx4TdDN9fQihQ1TUVzO5Kb.jpg,2012-11-04,Seal Team Six: The Raid on Osama Bin Laden,5.8,96
1000,"[28, 18, 27, 878]",84226,"Open war against humanity rages. For five survivors – lost and on the run – the pursuit is relentless, the bullets are dwindling and the battle is everywhere. This is a 24-houuir look into their lives.",1.445411,/iRW0Bu6ywti3pmuH3V74Yt2tb3D.jpg,2011-09-15,The Day,4.8,76
1001,"[27, 878]",3117,"Dr Simon Helder, sentenced to an insane asylum for crimes against humanity, recognises its director as the brilliant Baron Frankenstein, the man whose work he had been trying to emulate before his imprisonment. Frankenstein utilises Helder's medical knowledge for a project he has been working on for some time. He is assembling a man from vital organs extracted from various inmates in the asylum. And the Baron will resort to murder to acquire the perfect specimens for his most ambitious project ever.",1.445396,/5unJR4io2s7P6EVR0VoHsEy0zlO.jpg,1973-03-31,Frankenstein and the Monster from Hell,6.3,23
1002,"[14, 16]",79000,"Tales of the Night is renowned animation auteur Michel Ocelot (Kirikou and the Sorceress, Azur &amp; Asmar)'s first foray into 3D animation. A hit at the Berlin Film Festival, the film extends the earlier shadow puppet style of Ocelot’s Princes and Princesses, with black silhouetted characters set off against exquisitely detailed Day-Glo backgrounds bursting with color and kaleidoscopic patterns – the subtle use of 3D creating a diorama-like effect.  The film weaves together six exotic fables each unfolding in a unique locale, from Tibet, to medieval Europe, an Aztec kingdom, the African plains, and even the Land of the Dead. In Ocelot’s storytelling, history blends with fairytale as viewers are whisked off to enchanted lands full of dragons, werewolves, captive princesses, sorcerers, and enormous talking bees - and each fable ends with its own ironic twist.",1.445312,/cQMiDAJ6x5YefTKwPXHG9Oejga9.jpg,2011-07-20,Tales of the Night,7.6,20
1003,"[18, 10749]",25911,"In director Vicente Aranda's adaptation of the classic opera, a French writer documents the seductive power of the beautiful Gypsy Carmen (Paz Vega), who turns her charms on a young soldier (Leonardo Sbaraglia), awakening his passions but ultimately leading to tragedy. Jose becomes obsessed with Carmen and finds himself unable to control his jealousy, which forces him to make a deadly decision in this fiery story of love and betrayal.",1.445276,/5sgtsRZajzQlj5Sxrdvd41NyI7V.jpg,2003-05-16,Carmen,4.1,4
1004,[99],258235,"Six people, one room, one night, one game, a lot of sensuality and much to discover. A Film that shows how bodies and minds might meet when allowed to.  Get involved within a stimulating experiment, somewhere between aesthetic statement and real venture, between pornographic art and the attempt to reposition sexuality within dialogue and actions.",1.445232,/5TgD392KkxGs54XJiSt6I2GaSNa.jpg,2013-03-09,Bit by Bit,0.0,0
1005,"[28, 35]",11689,An attempted robbery turns to be an unexpected recruitment when two unemployed men mistakenly break into a police office instead of a store.,1.445067,/yb2MHtJit6BzdgKuiVzufoNXiql.jpg,1977-04-01,Crime Busters,6.6,73
